Scopus refine results values

"Your query : (AF-ID(60023857) AND SUBJAREA(ENGI) AND ( LIMIT-TO ( AF-ID,""Universidade Federal do Rio Grande do Norte"" 60023857) )  AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) ) )"


Number of results : 3675

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","1102","2024","170","D'Assunção, A.G.","113","Engineering","3675","Article","2182","final","3653","Materials Research","122","Scanning Electron Microscopy","225","Universidade Federal do Rio Grande do Norte","3675","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","958","Brazil","3657","Journal","2347","English","3549"
"Gold","672","2023","234","Acchar, W.","85","Materials Science","1324","Conference Paper","1266","aip","22","Materials Science Forum","104","X Ray Diffraction","135","Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte IFRN","264","Conselho Nacional de Desenvolvimento Científico e Tecnológico","938","Portugal","229","Conference Proceeding","1045","Portuguese","114"
"Hybrid Gold","63","2022","259","Costa, F.B.","85","Physics and Astronomy","1198","Book Chapter","107",,,"Microwave And Optical Technology Letters","72","Article","113","Universidade Federal da Paraíba","206","Universidade Federal do Rio Grande do Norte","254","United States","186","Book Series","207","Spanish","22"
"Bronze","106","2021","294","Salazar, A.O.","84","Computer Science","1075","Review","75",,,"Journal Of Alloys And Compounds","70","Microstrip Antennas","101","Universidade Federal de Campina Grande","160","Fundação de Amparo à Pesquisa do Estado de São Paulo","154","Spain","117","Book","75","French","5"
"Green","470","2020","263","Gomes, U.U.","76","Mathematics","412","Editorial","24",,,"SBMO IEEE MTT S International Microwave And Optoelectronics Conference Proceedings","67","Sintering","101","Universidade de São Paulo","153","Fundação para a Ciência e a Tecnologia","68","United Kingdom","113","Trade Journal","1",,
,,"2019","266","Guedes, L.A.","70","Chemistry","338","Note","7",,,"Sensors Switzerland","53","Controllers","90","Universidade Estadual de Campinas","131","European Commission","53","Germany","100",,,,
,,"2018","243","Motta, F.V.","64","Energy","310","Erratum","6",,,"Sensors","50","Human","90","Universidade Federal de São Carlos","119","Financiadora de Estudos e Projetos","45","France","99",,,,
,,"2017","213","Silva, I.","64","Chemical Engineering","256","Book","4",,,"IEEE Access","49","Ceramic Materials","89","Instituto Federal de Educação Ciência e Tecnologia da Paraíba – IFPB","108","European Regional Development Fund","34","Italy","97",,,,
,,"2016","187","Martinelli, A.E.","63","Environmental Science","171","Letter","2",,,"IEEE Latin America Transactions","49","Neural Networks","89","Universidade Federal Rural do Semi-Árido – UFERSA","93","Ministério da Educação e Ciência","30","Canada","50",,,,
,,"2015","176","Paskocimas, C.A.","63","Biochemistry, Genetics and Molecular Biology","168","Conference Review","1",,,"Journal Of Microwaves Optoelectronics And Electromagnetic Applications","43","Mechanical Properties","82","Universidade Estadual Paulista Júlio de Mesquita Filho","91","Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco","28","India","34",,,,
,,"2014","191","Campos, A.L.P.S.","60","Earth and Planetary Sciences","137","Short Survey","1",,,"Materials Letters","39","Microstructure","81","Universidade Federal de Santa Catarina","88","Fundação de Apoio à Pesquisa do Rio Grande do Norte","28","Switzerland","34",,,,
,,"2013","158","Bomio, M.R.D.","57","Social Sciences","105",,,,,"European Physical Journal C","36","Frequency Selective Surfaces","80","Universidade do Estado do Rio Grande do Norte","84","Center for High Performance Computing","26","Chile","32",,,,
,,"2012","115","Longo, E.","55","Decision Sciences","93",,,,,"Proceedings Of SPIE The International Society For Optical Engineering","33","Algorithms","79","Universidade Federal do Rio de Janeiro","78","Petrobras","26","Belgium","24",,,,
,,"2011","128","Bedregal, B.","53","Agricultural and Biological Sciences","85",,,,,"Energies","32","Internet Of Things","76","Universidade Federal do Ceará","74","Fundação de Amparo à Pesquisa do Estado de Minas Gerais","24","Netherlands","24",,,,
,,"2010","113","Maitelli, A.L.","51","Medicine","74",,,,,"Journal Of Materials Science","32","Natural Frequencies","76","Universidade do Porto","72","Horizon 2020 Framework Programme","23","China","23",,,,
,,"2009","83","Fernandes, H.C.C.","50","Business, Management and Accounting","65",,,,,"Construction And Building Materials","26","Synthesis (chemical)","76","Universidade Federal de Pernambuco","70","Ministerio de Economía y Competitividad","22","Poland","23",,,,
,,"2008","80","Gonçalves, L.M.G.","49","Health Professions","18",,,,,"Information Sciences","26","Humans","74","Universidade Federal do Rio Grande do Sul","67","Ministério da Educação","21","Australia","22",,,,
,,"2007","64","Melo, D.M.A.","46","Economics, Econometrics and Finance","10",,,,,"Expert Systems With Applications","24","Thermogravimetric Analysis","67","Universidade de Brasília","59","Agência Nacional do Petróleo, Gás Natural e Biocombustíveis","19","Sweden","21",,,,
,,"2006","67","Fernandes, M.A.C.","44","Multidisciplinary","9",,,,,"Analytical Methods","23","Computer Simulation","66","Universidade do Minho","56","Deutsche Forschungsgemeinschaft","18","Finland","20",,,,
,,"2005","70","Nascimento, R.M.","44","Dentistry","7",,,,,"Journal Of Materials Science Materials In Electronics","23","Fourier Transform Infrared Spectroscopy","65","Universidade de Aveiro","50","Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro","18","Mexico","20",,,,
,,"2004","33","Dórea, C.E.T.","36","Pharmacology, Toxicology and Pharmaceutics","7",,,,,"IEEE Transactions On Magnetics","22","Nanoparticles","65","Universidade Federal do Piauí","48","Universidade Federal Rural do Semi-Árido","18","Denmark","16",,,,
