TIPO_PRODUTO,NOME_PRODUTO,DATA_FINALIZACAO_PROCESSO,CATEGORIA_REGULATORIA,NUMERO_REGISTRO_PRODUTO,DATA_VENCIMENTO_REGISTRO,NUMERO_PROCESSO,CLASSE_TERAPEUTICA,EMPRESA_DETENTORA_REGISTRO,SITUACAO_REGISTRO,PRINCIPIO_ATIVO,NOME-PRODUTO
MEDICAMENTO,A SAÚDE DA MULHER,26/03/2012,NOVO,102351059.0,01/07/2029,25351668917201032,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,57507378000365 - EMS S/A,VÁLIDO,EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA +  EXTRATO FLUIDO DE PASSIFLORA ALATA +  SALICILATO DE SODIO +  TINTURA AGONIADA PLUMERIA,A SAUDE DA MULHER
MEDICAMENTO,AAS,09/09/2019,SIMILAR,183260386.0,01/12/2029,25351411966201938,ANALGESICOS NAO NARCOTICOS,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,VÁLIDO,ACIDO ACETILSALICILICO,AAS
MEDICAMENTO,AAS PROTECT,09/09/2019,SIMILAR,183260387.0,01/11/2026,25351412012201942,ANTIAGREGANTE PLAQUETARIO,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,VÁLIDO,ACIDO ACETILSALICILICO,AAS PROTECT
MEDICAMENTO,ABBA,25/03/2019,SIMILAR,146820078.0,01/03/2029,25351385248201818,AGENTES ANTINEOPLÁSICOS,05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA,VÁLIDO,ACETATO DE ABIRATERONA,ABBA
MEDICAMENTO,ABC,24/10/2005,SIMILAR,106890153.0,01/10/2025,25351141033200572,ANTIMICOTICOS PARA USO TOPICO,92695691000103 - KLEY HERTZ FARMACEUTICA S.A,VÁLIDO,CLOTRIMAZOL,ABC
MEDICAMENTO,ABCLER ABNAT,07/06/2001,SIMILAR,144930011.0,01/06/2026,253510001840168,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,VÁLIDO,BETAINA +  CITRATO DE COLINA +  DL-METIONINA +  LEVOMETIONINA,ABCLER ABNAT
MEDICAMENTO,ABERALGINA,04/06/2001,SIMILAR,144930010.0,01/06/2026,253510299080047,ANALGESICOS NAO NARCOTICOS,01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,VÁLIDO,DIPIRONA,ABERALGINA
MEDICAMENTO,ABLOK,08/05/2000,SIMILAR,109740100.0,01/05/2025,250000035789980,BETABLOQUEADORES SIMPLES,49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA,VÁLIDO,ATENOLOL,ABLOK
MEDICAMENTO,ABLOK PLUS,29/06/1999,SIMILAR,109740092.0,01/06/2029,250000209279973,ANTI-HIPERTENSIVOS,49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA,VÁLIDO,ATENOLOL +  CLORTALIDONA,ABLOK PLUS
MEDICAMENTO,ABRETIA,20/02/2017,SIMILAR,103900192.0,01/02/2027,25351567981201697,ANTIDEPRESSIVOS,33349473000158 - FARMOQUÍMICA S/A,VÁLIDO,CLORIDRATO DE DULOXETINA,ABRETIA
MEDICAMENTO,ABRIFIT,07/07/2014,FITOTERAPICO,154230216.0,01/07/2029,25351356211201368,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES,03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A,VÁLIDO,HEDERA HELIX L.,ABRIFIT
MEDICAMENTO,ABRILAR,12/05/2003,FITOTERAPICO,103900141.0,01/05/2028,25351164045200222,EXPECTORANTES + FITOTERAPICO SIMPLES,33349473000158 - FARMOQUÍMICA S/A,VÁLIDO,HEDERA HELIX L.,ABRILAR
MEDICAMENTO,ACALMILFITO,08/03/2021,FITOTERAPICO,118190216.0,01/03/2031,25351963576202082,ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO,92265552000140 - MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,VÁLIDO,CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  VALERIANA OFFICINALIS L.,ACALMILFITO
MEDICAMENTO,ACCUVIT,02/10/2002,ESPECIFICO,105730206.0,01/03/2027,2599100418277,VITAMINAS E SUPLEMENTOS MINERAIS,60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,VÁLIDO,ACETATO DE RACEALFATOCOFEROL +  BETACAROTENO +  OXIDO CUPRICO +  RIBOFLAVINA +  SELENATO DE SODIO +  ACIDO ASCORBICO +  OXIDO CUPRICO +  OXIDO DE ZINCO,ACCUVIT
